Temperature (°C),biting_rate,mosquito_development_rate,infection_probability,fecundity,adult_lifespan,incubation_rate,egg_to_adult_survival,transmission_probability
10,0.000,0.000,0.000,0.000,10.000,0.000,0.000,0.000
12,0.023,0.019,0.077,0.767,11.500,0.008,0.115,0.000
14,0.027,0.023,0.090,0.900,13.500,0.009,0.135,0.000
15,0.030,0.025,0.100,1.000,15.000,0.010,0.150,0.000
17,0.066,0.047,0.141,1.886,20.743,0.019,0.207,0.236
18,0.070,0.050,0.150,2.000,22.000,0.020,0.220,0.250
19,0.095,0.057,0.190,3.800,23.750,0.048,0.475,0.380
20,0.100,0.060,0.200,4.000,25.000,0.050,0.500,0.400
22,0.143,0.067,0.287,4.778,26.278,0.067,0.764,0.478
23,0.150,0.070,0.300,5.000,27.500,0.070,0.800,0.500
24,0.192,0.077,0.384,5.760,27.840,0.086,0.864,0.672
25,0.200,0.080,0.400,6.000,29.000,0.090,0.900,0.700
27,0.241,0.096,0.482,6.745,26.982,0.106,0.867,0.771
28,0.250,0.100,0.500,7.000,28.000,0.110,0.900,0.800
29,0.290,0.106,0.580,7.733,24.167,0.126,0.773,0.725
30,0.300,0.110,0.600,8.000,25.000,0.130,0.800,0.750
32,0.291,0.107,0.582,7.754,24.231,0.126,0.775,0.727
33,0.310,0.130,0.700,6.000,22.500,0.150,0.700,0.600
34,0.311,0.126,0.058,4.000,21.857,0.155,0.243,0.389
35,0.320,0.100,0.060,1.000,10.000,0.160,0.250,0.400
37,0.263,0.082,0.049,0.822,8.219,0.153,0.205,0.329
38,0.221,0.069,0.041,0.690,6.904,0.143,0.173,0.276
39,0.184,0.058,0.035,0.575,5.753,0.135,0.144,0.230
40,0.000,0.000,0.000,0.000,0.000,0.130,0.000,0.000
